epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1617.42,1.06586,1.0515,1.05101,0.90416,0.85874,0.91807,0.68354,1.00953,1.46533,0.97325,0.00999867,0.00333289,0.00999867,0.00333289,0.00999867,0.00333289,0.00999867,0.00333289
2,2818.34,1.0136,0.71555,0.99608,0.89587,0.86457,0.91326,0.68228,0.98562,0.91954,0.9464,0.0198007,0.00660023,0.0198007,0.00660023,0.0198007,0.00660023,0.0198007,0.00660023
3,4000.32,1.0178,0.68017,0.99143,0.93407,0.85771,0.9286,0.68083,0.99657,1.17977,0.96132,0.0294047,0.00980157,0.0294047,0.00980157,0.0294047,0.00980157,0.0294047,0.00980157
4,5312.49,1.00215,0.65753,0.98686,0.92036,0.87635,0.93884,0.71212,0.96555,0.9837,0.94468,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,6600.17,0.95538,0.60665,0.97058,0.93174,0.87194,0.94253,0.72124,0.97092,0.9152,0.94372,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,7778.38,0.92326,0.57696,0.95815,0.91629,0.90171,0.94157,0.72286,0.92021,0.80185,0.9235,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,8893.87,0.90327,0.55727,0.94922,0.92911,0.89165,0.94711,0.73022,0.97892,0.88664,0.94736,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,10031.2,0.88415,0.53343,0.94188,0.93401,0.88605,0.94625,0.72249,0.96301,0.98014,0.92839,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,11165.4,0.87155,0.51908,0.93484,0.9476,0.88309,0.94866,0.73542,0.93495,0.81911,0.91911,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,12291.1,0.86312,0.51053,0.93226,0.90659,0.87622,0.94503,0.72977,0.93867,0.82851,0.91794,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,13398.6,0.85536,0.50218,0.93054,0.92138,0.88396,0.9388,0.72972,0.94663,0.86998,0.92155,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,14524.1,0.84461,0.49472,0.92459,0.92944,0.89675,0.95514,0.73181,0.97475,0.79942,0.92992,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,15655.6,0.8391,0.48486,0.92226,0.92403,0.89755,0.94633,0.73886,0.92502,0.78022,0.91117,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,16777.4,0.8299,0.47743,0.91993,0.92765,0.90795,0.94989,0.74859,0.92668,0.77632,0.9144,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,17911.5,0.82621,0.47367,0.91893,0.9371,0.8992,0.94886,0.74712,0.90847,0.7214,0.90531,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,19035.9,0.82526,0.47138,0.91626,0.92909,0.9047,0.94294,0.75024,0.93557,0.81181,0.91747,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,20158.2,0.81783,0.46549,0.91428,0.9361,0.90211,0.94568,0.74396,0.93924,0.85273,0.91893,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,21279.9,0.81584,0.46103,0.91461,0.93756,0.90538,0.95237,0.75156,0.92668,0.79592,0.90714,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,22399,0.81131,0.45714,0.91209,0.92558,0.90027,0.94658,0.74892,0.93891,0.77114,0.91259,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,23523.5,0.80512,0.45196,0.91046,0.89396,0.91178,0.94681,0.74714,0.90321,0.80766,0.90005,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,24653.1,0.80286,0.45043,0.90969,0.92611,0.90414,0.95169,0.75394,0.91111,0.76802,0.9007,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,25777.9,0.79961,0.44523,0.90672,0.9315,0.91059,0.95851,0.7599,0.92095,0.80231,0.90442,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,26897.8,0.79692,0.44126,0.90677,0.93128,0.91544,0.95311,0.75341,0.93936,0.84103,0.91369,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,28022.1,0.7903,0.44062,0.90373,0.89765,0.90334,0.94547,0.73722,0.92954,0.84154,0.91226,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,29249.3,0.79063,0.43876,0.9046,0.92534,0.90309,0.94695,0.75427,0.92061,0.83429,0.90878,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,30486.8,0.79137,0.43638,0.90496,0.93678,0.90132,0.94987,0.75528,0.91851,0.83304,0.90626,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,31607.5,0.78668,0.43266,0.90219,0.93186,0.90733,0.95321,0.76191,0.90242,0.80214,0.90191,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,32733.3,0.78392,0.43046,0.90293,0.94049,0.91102,0.94915,0.75532,0.92191,0.80581,0.91155,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,33854.4,0.78152,0.42808,0.9013,0.93145,0.916,0.94946,0.75591,0.91377,0.81782,0.90514,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,34984.4,0.77625,0.42345,0.89816,0.94381,0.90364,0.95178,0.76266,0.90139,0.78227,0.8971,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,36154.8,0.77521,0.42246,0.89846,0.93566,0.91085,0.95095,0.75927,0.91746,0.80031,0.90901,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,37277,0.77616,0.42149,0.8992,0.92302,0.90793,0.94964,0.7602,0.91477,0.80691,0.90462,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,38404.5,0.77208,0.41922,0.89719,0.93251,0.91828,0.95553,0.76341,0.91145,0.81416,0.90111,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,39536.1,0.77043,0.42042,0.89695,0.94499,0.90761,0.95621,0.76283,0.91616,0.81268,0.9034,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,40632.3,0.77111,0.41638,0.89711,0.93961,0.91278,0.95969,0.76606,0.91217,0.81156,0.90244,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,41733.9,0.76862,0.41451,0.89541,0.93244,0.91861,0.95587,0.76379,0.92209,0.81515,0.90298,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,42838.2,0.76447,0.40873,0.89364,0.93949,0.91116,0.95452,0.76543,0.90773,0.81023,0.89783,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
